item_id,tier_aggregate
0,T3
1,T1
2,T3
3,T4
4,T2
5,T1
6,T2
7,T3
8,T3
9,T3
10,T4
11,T2
12,T4
13,T2
14,T1
15,T1
16,T2
17,T1
18,T1
19,T4
21,T4
22,T3
23,T1
24,T3
25,T4
26,T1
27,T1
28,T1
29,T1
30,T2
31,T2
32,T1
33,T2
34,T2
35,T3
36,T2
38,T4
39,T3
40,T1
41,T1
42,T3
43,T2
45,T4
46,T1
47,T2
48,T2
49,T2
50,T1
51,T1
52,T1
53,T1
54,T1
55,T3
56,T4
57,T1
58,T1
59,T1
60,T1
61,T2
62,T2
63,T1
64,T4
65,T3
67,T4
68,T2
69,T2
70,T2
71,T3
72,T4
73,T1
74,T1
75,T3
76,T4
77,T4
78,T1
79,T3
80,T1
81,T4
82,T3
83,T2
84,T4
85,T3
86,T4
87,T4
88,T4
89,T4
90,T2
91,T1
92,T1
93,T2
95,T3
96,T3
97,T1
98,T2
99,T1
100,T4
101,T3
102,T2
103,T2
104,T2
105,T4
107,T3
108,T1
109,T4
110,T2
111,T2
112,T2
113,T2
115,T4
116,T3
118,T2
119,T1
120,T1
123,T4
124,T3
125,T2
128,T4
129,T1
130,T4
132,T3
133,T2
134,T4
135,T1
136,T1
137,T1
138,T2
139,T3
140,T3
141,T4
142,T1
143,T1
144,T4
145,T3
146,T3
147,T3
148,T2
149,T3
151,T1
152,T3
153,T3
154,T3
155,T2
156,T1
157,T2
158,T1
159,T2
160,T2
161,T4
162,T3
163,T4
164,T1
165,T1
166,T1
167,T1
168,T4
169,T1
170,T1
171,T1
172,T4
173,T4
174,T2
175,T3
176,T4
177,T3
178,T1
179,T4
180,T3
181,T4
182,T1
183,T2
184,T1
185,T2
186,T4
187,T2
188,T3
189,T4
190,T1
191,T3
192,T2
193,T2
194,T4
195,T2
196,T2
198,T1
199,T2
200,T3
201,T1
202,T4
203,T2
204,T1
205,T1
206,T4
207,T1
208,T2
209,T2
210,T2
211,T3
212,T1
213,T1
214,T3
215,T4
216,T1
217,T1
218,T1
219,T1
220,T2
221,T3
222,T3
223,T1
224,T3
225,T3
226,T3
227,T2
228,T1
229,T3
231,T4
232,T4
233,T2
234,T3
236,T3
237,T4
238,T4
239,T4
240,T1
241,T2
242,T4
243,T2
244,T3
245,T3
246,T1
247,T3
248,T4
250,T4
251,T1
252,T1
253,T2
254,T4
255,T3
256,T3
257,T3
258,T3
259,T3
260,T4
261,T4
262,T3
263,T3
264,T4
265,T3
266,T2
267,T3
268,T3
269,T2
270,T3
271,T2
272,T2
273,T3
274,T3
275,T3
276,T1
277,T3
278,T1
279,T3
280,T1
281,T3
282,T1
283,T4
284,T3
285,T2
286,T4
287,T2
289,T3
290,T4
291,T2
292,T2
293,T1
294,T4
295,T1
296,T3
297,T4
298,T2
299,T2
300,T2
301,T2
302,T3
304,T2
305,T3
306,T3
307,T4
308,T1
309,T2
310,T1
311,T4
312,T1
313,T3
314,T1
315,T1
316,T2
317,T1
318,T3
319,T3
320,T3
321,T2
322,T1
323,T1
324,T1
325,T3
326,T3
327,T4
328,T4
329,T2
330,T4
331,T4
332,T4
333,T1
334,T4
